"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"biasSpread",2.06806554272727,2.067735,2.07069109240804,9768.3,0.95,1.93502,2.20898,NA,NA,NA,NA,NA,NA,NA
"nuY",7.72116727363636,7.448095,6.83768092403154,9338.5,0.95,4.81538,11.0042,NA,NA,NA,NA,NA,NA,NA
"pollsterSpread",1.10869414654545,1.09855,1.08178428972342,9222.4,0.95,0.840103,1.3777,NA,NA,NA,NA,NA,NA,NA
"yearSpread",3.27078637,2.82663,2.38545521785955,7066,0.95,1.22641,6.34847,NA,NA,NA,NA,NA,NA,NA
"yearLean[1]",-3.78163461727273,-3.78279,-3.83129802122595,5502.9,0.95,-4.57677,-3.01145,NA,NA,NA,NA,NA,NA,NA
"yearLean[2]",-1.37386298177727,-1.37475,-1.35561205115318,4519.5,0.95,-2.07185,-0.678241,NA,NA,NA,NA,NA,NA,NA
"yearLean[3]",-1.87625191081818,-1.880375,-1.91462705263216,4317.8,0.95,-2.52149,-1.21231,NA,NA,NA,NA,NA,NA,NA
"yearLean[4]",-2.60193315354545,-2.60136,-2.60440737538113,4966.8,0.95,-3.32849,-1.91211,NA,NA,NA,NA,NA,NA,NA
"yearLean[5]",-0.563261366799627,-0.5617545,-0.558635215542771,5111.2,0.95,-1.37093,0.201082,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[1,1] ABCN-WP 2000",1.44433212858273,1.441895,1.4615340995619,8199.4,0.95,0.208548,2.59962,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[2,1] AmrcnRG 2000",0.526319707151173,0.527375,0.479229339730613,9619.2,0.95,-0.87632,1.85536,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[3,1] Gallup 2000",-0.897139359871636,-0.8974885,-0.905871966933762,10406.1,0.95,-2.34068,0.563474,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[4,1] GrvsMrk 2000",0.0110381230673818,0.0181117,-0.0995685378804243,11360.6,0.95,-2.22462,2.21465,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[5,1] HrrsI&A 2000",2.575062887,2.569895,2.47664363272012,6732.4,0.95,1.58804,3.55366,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[6,1] MrstCll 2000",-0.951099400963064,-0.951003,-0.961616966696606,10003.4,0.95,-2.62364,0.900951,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[7,1] Ms-DP&S 2000",0.308940072151545,0.3052135,0.268478762918941,7480.9,0.95,-0.778765,1.42993,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[8,1] PblcPlP 2000",-0.0208146969358455,-0.02387575,-0.0816086346256091,11000,0.95,-2.18722,2.26473,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[9,1] QnnpcUn 2000",-1.65408523374964,-1.66289,-1.74287498514513,10588,0.95,-3.16678,-0.0740795,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[10,1] RRp-POR 2000",-2.26250380227273,-2.26425,-2.34158505743291,6675.5,0.95,-3.22563,-1.24131,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[11,1] Rsr2000 2000",0.164446734837383,0.164541,0.232365065530565,9795.3,0.95,-1.15426,1.41978,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[12,1] SrvyMnk 2000",-0.0122250248200909,-0.009035215,-0.0341388421378994,11000,0.95,-2.19493,2.18998,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[13,1] SrvyUSA 2000",0.0465754111300909,0.04959285,0.121209723987344,7819.5,0.95,-1.0595,1.13653,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[14,1] StrVLLC 2000",0.003093188592,-0.01035565,-0.184266409562642,11000,0.95,-2.27403,2.24184,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[15,1] TCJRsrc 2000",-0.00232281393068182,0.0002238475,0.0724652357685143,11460.9,0.95,-2.20305,2.17751,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[16,1] YouGov 2000",-0.00650523211981818,0.00972709,0.141585390767446,11000,0.95,-2.23753,2.1632,NA,NA,NA,NA,NA,NA,NA
"pollsterBias[17,1] ZIn-JZA 2000",0.0135621622715436,0.008976715,0.0259903547032476,6577.7,0.95,-0.928301,1.00789,NA,NA,NA,NA,NA,NA,NA
